Warning 2020-01-21 11:44:05:0628  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L0275)     Description:Driver mode failed, DriverInstalled[0x80000207], DriverVersion[0x1030103], Socket mode start!     Solution:
Info    2020-01-21 15:10:34:0047  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2072)     Description:AppGetCount[72986], AppGetCountSucceed[72986], NetRecv[72989], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[3], LostPackets[1]     Solution:
Info    2020-01-21 15:10:34:0049  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L4662)     Description:SetTransmissionType[0x0], nRet[0x0], GvspSendIp[0xc0a80117], GvspSendPort[58146], HostIp[0xc0a80117], HostPort[58146]     Solution:
Info    2020-01-21 15:10:34:0049  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L1080)     Description:Disconnect device     Solution:
Info    2020-01-21 15:10:34:0063  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2072)     Description:AppGetCount[72986], AppGetCountSucceed[72986], NetRecv[72989], ThrowAbnormalImage[0], NetLostFrame[0], ThrowInBufList[3], LostPackets[1]     Solution:
Warning 2020-01-21 15:27:13:0616  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L0275)     Description:Driver mode failed, DriverInstalled[0x80000207], DriverVersion[0x1030103], Socket mode start!     Solution:
Info    2020-01-21 15:27:13:0618  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L1004)     Description:Connecting device, hostIP[0xc0a80117], hostPort[61499], devIP[0xc0a8010b]     Solution:
Info    2020-01-21 15:27:13:0990  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L3213)     Description:Get Local Mtu [1514]!     Solution:
Info    2020-01-21 15:27:14:0003  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L3339)     Description:Optimal PacketSize [1500]!     Solution:
Info    2020-01-21 15:27:14:0115  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionGVSP.cpp-L0356)     Description:GVSP GVSPThread Start, ThreadId[7540]     Solution:
Info    2020-01-21 15:27:14:0116  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2310)     Description:GigE StreamInterEventThread Start, ThreadId[6072]     Solution:
Warning 2020-01-21 15:40:06:0343  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L0275)     Description:Driver mode failed, DriverInstalled[0x80000207], DriverVersion[0x1030103], Socket mode start!     Solution:
Info    2020-01-21 15:40:06:0345  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L1004)     Description:Connecting device, hostIP[0xc0a80117], hostPort[53108], devIP[0xc0a8010b]     Solution:
Info    2020-01-21 15:40:06:0738  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L3213)     Description:Get Local Mtu [1514]!     Solution:
Info    2020-01-21 15:40:06:0750  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L3339)     Description:Optimal PacketSize [1500]!     Solution:
Info    2020-01-21 15:40:06:0859  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionGVSP.cpp-L0356)     Description:GVSP GVSPThread Start, ThreadId[2472]     Solution:
Info    2020-01-21 15:40:06:0860  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionManager.cpp-L2310)     Description:GigE StreamInterEventThread Start, ThreadId[2256]     Solution:
Info    2020-01-21 15:49:56:0128  DevID:MV-CE013-50GM(00121453151)  Source-Line:MVGigEVisionSDK.dll(GigEVisionGVSP.cpp-L0549)     Description:GVSP recv thread stop     Solution:
